,Headline,Description,Category,polarity,subjectivity
0,2 bikers killed in road crash on Bangabgandhu Bridge link road,Two motorcyclists were killed in a road accident on Bangabandhu Bridge East link road in Tangail this afternoon.,Country,Negative,0.0
1,Dhaka city unit Hefajat president arrested,Detectives arrested Dhaka City unit President of Hefajat-e-Islam Maulana Zunayed Al Habib from the city's Baridhara area this evening.,City,Neutral,0.0
2,Mujibnagar govt played historic role in freedom struggle of Bangladesh: Envoy,"Bangladesh High Commissioner to India Muhammad Imran today highlighted the significance of the historic Mujibnagar Day, which falls on April 17, and said the Mujibnagar government played a historic role in the freedom struggle of Bangladesh.",Bangladesh,Positive,0.17999999999999997
3,"Level of Khaleda's Covid-19 infection 'minimal', says doctor after probationary CT scan report","The level of infection of BNP Chairperson Khaleda Zia caused by Covid-19 is “extremely minimal”, her physician said based on the probationary report of a CT scan done last night.",Coronavirus: A deadly threat,Negative,0.3333333333333333
4,Job portal aimed at facilitating legalisation: Bangladesh High Commission in Malaysia,"The job portal “Chakrir Khoj” launched by the Bangladesh High Commission in Malaysia is aimed at facilitating Malaysian government's ongoing legalisation process and ensuring welfare of the migrants, said the Bangladesh mission there in response to a Malaysian minister slamming the initiative.",Travel,Positive,0.5399999999999999
5,Khaleda being taken to hospital for CT scan as part of Covid-19 treatment,"BNP Chairperson Khaleda Zia, who recently tested positive for Covid-19, was on her way to a hospital in the capital to get a CT scan.",Coronavirus: A deadly threat,Positive,0.3977272727272727
6,AL lawmaker and SCBA president Abdul Matin Khasru laid to rest,"With love, respect and grief, people from all walks of life bade farewell to Awami League lawmaker and president of Supreme Court Bar Association (SCBA) Abdul Matin Khasru today.",Bangladesh,Negative,0.4
7,"Hefajat says 'no', pictures say 'yes'","From March 26 to 28, Hefajat-e-Islam activists attacked and vandalised 58 government and non-government institutions, two temples, and houses and offices of top leaders of the district Awami League and Chhatra League in Brahmanbaria.",Bangladesh,Positive,0.5
8,"One killed, five injured in clash over UP election in Madaripur",A man was killed and five others were injured in a clash between the supporters of two chairmen candidates of Kadirpur union under Shibchar upazila in Madaripur.,Politics,Negative,0.0
9,Hefajat now a platform for materialising personal agenda: Nayeb-e-amir of outfit says while resigning,"Maulana Abdullah Mohammad Hasan, a nayeb-e-amir of Hefajat-e Islam, has resigned from the Qawmi madrasa based organisation bringing allegations that the Islamist outfit has now become a platform for materialising the personal agenda of some controversial Hefajat leaders.",Bangladesh,Positive,0.625
